Date,RV_1min
2023-11-01,7.739660397077199e-4
2023-11-02,5.348381472086982e-4
2023-11-03,4.8579473843773967e-4
2023-11-04,2.3318807648056998e-4
2023-11-05,5.485630830475599e-4
2023-11-06,4.5469383733135626e-4
2023-11-07,5.174352687720588e-4
2023-11-08,2.8884817529641976e-4
2023-11-09,0.0031100037279013656
2023-11-10,8.600365279521272e-4
2023-11-11,5.803575525559481e-4
2023-11-12,3.6040270608201947e-4
2023-11-13,0.0011017059587871403
2023-11-14,0.0014545812881770882
2023-11-15,7.436719608285177e-4
2023-11-16,0.001339900940026572
2023-11-17,8.799661908508635e-4
2023-11-18,3.411938226062749e-4
2023-11-19,3.157807032651652e-4
2023-11-20,7.316856646691888e-4
2023-11-21,0.001117519238583051
2023-11-22,7.132444544624171e-4
2023-11-23,4.15644844638316e-4
2023-11-24,6.341063402804498e-4
2023-11-25,1.3447068089717009e-4
2023-11-26,2.96055963601851e-4
2023-11-27,5.126544167046126e-4
2023-11-28,4.817198128717345e-4
2023-11-29,3.295581693440294e-4
2023-11-30,2.5297517437701793e-4
2023-12-01,4.545712943129008e-4
2023-12-02,4.6312289145614165e-4
2023-12-03,3.232091051391348e-4
2023-12-04,9.196938491324438e-4
2023-12-05,0.0010980375644237912
2023-12-06,7.729426962976161e-4
2023-12-07,7.815067441291159e-4
2023-12-08,5.292302503734726e-4
2023-12-09,5.488361519406847e-4
2023-12-10,2.49286943442853e-4
2023-12-11,0.0033180649447036694
2023-12-12,6.883308125108347e-4
2023-12-13,7.708359711151111e-4
2023-12-14,6.647226438688789e-4
2023-12-15,5.318373204021473e-4
2023-12-16,2.835751006475608e-4
2023-12-17,3.5277853941976297e-4
2023-12-18,5.941611685334527e-4
2023-12-19,6.459433412533567e-4
2023-12-20,7.978105648974936e-4
2023-12-21,7.775050422415053e-4
2023-12-22,0.0011498028427376602
2023-12-23,3.9332228792235847e-4
2023-12-24,5.415521870430743e-4
2023-12-25,3.779301218212025e-4
2023-12-26,5.369537950927821e-4
2023-12-27,7.631735834081753e-4
2023-12-28,0.0012368194040130141
2023-12-29,8.924342762440588e-4
2023-12-30,4.1612173166209537e-4
2023-12-31,3.993670821925728e-4
2024-01-01,3.1613294605707177e-4
2024-01-02,8.05627392427962e-4
2024-01-03,0.004203764102979557
2024-01-04,8.158300633465943e-4
2024-01-05,0.0011305005528998
2024-01-06,2.799406923849327e-4
2024-01-07,3.5705144999067503e-4
2024-01-08,9.824614774125834e-4
2024-01-09,0.0027259769357761156
2024-01-10,0.0029852966997181945
2024-01-11,0.001608018949085971
2024-01-12,0.002809814331269818
2024-01-13,8.422332500066908e-4
2024-01-14,6.874791544186287e-4
2024-01-15,5.354490953353185e-4
2024-01-16,6.52944266930324e-4
2024-01-17,5.901037255074864e-4
2024-01-18,6.558082704520865e-4
2024-01-19,6.345135407452694e-4
2024-01-20,1.6150025491965285e-4
2024-01-21,1.034520170382653e-4
2024-01-22,9.90150335098956e-4
2024-01-23,0.0014452160398517498
2024-01-24,6.466283070171449e-4
2024-01-25,6.435143383067871e-4
2024-01-26,5.260312749630484e-4
2024-01-27,1.6770068679199058e-4
2024-01-28,3.2737643279741026e-4
2024-01-29,4.087122448158304e-4
2024-01-30,5.593029220265287e-4
2024-01-31,7.440170311662156e-4
2024-02-01,5.248601674303152e-4
2024-02-02,3.3724298808830044e-4
2024-02-03,1.58322499331973e-4
2024-02-04,2.472953370477582e-4
2024-02-05,3.2429098744507284e-4
2024-02-06,4.6946893112603805e-4
2024-02-07,4.057514192639298e-4
2024-02-08,3.840720172689974e-4
2024-02-09,6.566397192206933e-4
2024-02-10,2.2108074446449604e-4
2024-02-11,2.637542624099989e-4
2024-02-12,5.73237495897175e-4
2024-02-13,0.0010517697542785963
2024-02-14,7.518046539431528e-4
2024-02-15,0.001073385870641062
2024-02-16,7.430812297020252e-4
2024-02-17,3.816658125648987e-4
2024-02-18,5.012542963553201e-4
2024-02-19,7.639924992871214e-4
