"Date","Sigma"
2023-11-01,0.0262135532601212
2023-11-02,0.0275033221793428
2023-11-03,0.0245835103410469
2023-11-04,0.0258920329291035
2023-11-05,0.0233890830053079
2023-11-06,0.0232966116763936
2023-11-07,0.0217696516432752
2023-11-08,0.023091603585786
2023-11-09,0.0245789905716169
2023-11-10,0.0240577742008312
2023-11-11,0.0258888306944222
2023-11-12,0.0258612362676374
2023-11-13,0.0238869806609131
2023-11-14,0.0237306240853065
2023-11-15,0.0309060566331297
2023-11-16,0.0299957686720538
2023-11-17,0.029338162098189
2023-11-18,0.0324311248986337
2023-11-19,0.0290440658826914
2023-11-20,0.029103854251392
2023-11-21,0.0272694954986798
2023-11-22,0.0377241535542176
2023-11-23,0.0346226734663673
2023-11-24,0.0318393160933068
2023-11-25,0.0291130536603275
2023-11-26,0.0281899215469205
2023-11-27,0.02942421497512
2023-11-28,0.0276411776115365
2023-11-29,0.0283837187814185
2023-11-30,0.0273304126279977
2023-12-01,0.0247002085772203
2023-12-02,0.0277474998372957
2023-12-03,0.0253926539227946
2023-12-04,0.0261847410153756
2023-12-05,0.0308742004132583
2023-12-06,0.0311228956613026
2023-12-07,0.0311791177298691
2023-12-08,0.0313242143974542
2023-12-09,0.0308591458582989
2023-12-10,0.0290836615820174
2023-12-11,0.0275172958879938
2023-12-12,0.0391879899134368
2023-12-13,0.029955908805385
2023-12-14,0.0314221405408727
2023-12-15,0.0295464235923682
2023-12-16,0.0316216114134484
2023-12-17,0.0297405750607502
2023-12-18,0.0309585781366771
2023-12-19,0.0316842792254827
2023-12-20,0.0294602296653889
2023-12-21,0.0313811934499783
2023-12-22,0.0292489627362219
2023-12-23,0.0279024881226471
2023-12-24,0.0277876134935499
2023-12-25,0.0279587868267218
2023-12-26,0.0269124639730054
2023-12-27,0.0293900899323231
2023-12-28,0.0298217022681803
2023-12-29,0.0290851708798186
2023-12-30,0.0288328529109685
2023-12-31,0.0266070107566588
2024-01-01,0.0252224807541569
2024-01-02,0.0316221192714684
2024-01-03,0.0288250808950036
2024-01-04,0.0321561159113746
2024-01-05,0.0328704555209935
2024-01-06,0.029532557479478
2024-01-07,0.0287135702301286
2024-01-08,0.0278098091197589
2024-01-09,0.0344888737106657
2024-01-10,0.0336521602543346
2024-01-11,0.0298489500936489
2024-01-12,0.0298429682624196
2024-01-13,0.0442221690676845
2024-01-14,0.0335257775570695
2024-01-15,0.0364107693688776
2024-01-16,0.0343517476471514
2024-01-17,0.0318474268516817
2024-01-18,0.0317332956224171
2024-01-19,0.0338324229951199
2024-01-20,0.0314216885664731
2024-01-21,0.0296451238214043
2024-01-22,0.0287469446794721
2024-01-23,0.0333920700760845
2024-01-24,0.0317355303345109
2024-01-25,0.0293152499524048
2024-01-26,0.0283397247393064
2024-01-27,0.0316335607831107
2024-01-28,0.0298993577220836
2024-01-29,0.0278788079318276
2024-01-30,0.0302397735716381
2024-01-31,0.0285469495305113
2024-02-01,0.0280061631087376
2024-02-02,0.0281629046945866
2024-02-03,0.0268674110876557
2024-02-04,0.0253863526371097
2024-02-05,0.0253913735716325
2024-02-06,0.0238538248102827
2024-02-07,0.0236671125038636
2024-02-08,0.0255495840765891
2024-02-09,0.0258878648659307
2024-02-10,0.028957444927177
2024-02-11,0.0270977839824223
2024-02-12,0.0261493829545636
2024-02-13,0.0291054991475873
2024-02-14,0.0270028341425876
2024-02-15,0.0306526839949298
2024-02-16,0.0278921368332585
2024-02-17,0.0263437526783511
2024-02-18,0.026890281318282
2024-02-19,0.025452061406038
2024-02-20,0.0249962547932749
2024-02-21,0.0243194495479389
2024-02-22,0.0264906147793113
2024-02-23,0.0240595375602725
2024-02-24,0.0252638866965178
2024-02-25,0.0260706013959085
2024-02-26,0.0253211149902821
2024-02-27,0.0302889324235117
2024-02-28,0.0301285244243492
2024-02-29,0.0356031186298148
2024-03-01,0.033797491014274
2024-03-02,0.0345119164351
2024-03-03,0.03423697401297
2024-03-04,0.0325291716891454
2024-03-05,0.0366429114287759
2024-03-06,0.0404087081735802
2024-03-07,0.0402112269040352
2024-03-08,0.0372502901673
2024-03-09,0.0390638894151967
2024-03-10,0.0377482516168384
2024-03-11,0.034911178080545
2024-03-12,0.0366192088445989
2024-03-13,0.0335394960707424
2024-03-14,0.0332051209971648
2024-03-15,0.0349982769764604
2024-03-16,0.0359681557857168
2024-03-17,0.0419600059738445
2024-03-18,0.0414123324100591
2024-03-19,0.0380445961349257
2024-03-20,0.0464071611198471
2024-03-21,0.0501459026769089
2024-03-22,0.048781010278244
2024-03-23,0.0457058020310569
2024-03-24,0.0428584693539177
2024-03-25,0.042644472579606
2024-03-26,0.044509928884414
2024-03-27,0.0435867666173766
2024-03-28,0.0378153022444905
2024-03-29,0.0358068995535167
2024-03-30,0.0389570995078093
2024-03-31,0.0380757600383008
2024-04-01,0.0339086201646809
2024-04-02,0.0362730306499287
2024-04-03,0.041890319170046
2024-04-04,0.0385722257273815
2024-04-05,0.0380322715722026
2024-04-06,0.0376434879144841
2024-04-07,0.0369355143915658
2024-04-08,0.0357928521246753
2024-04-09,0.0339572039513868
2024-04-10,0.038889263653096
2024-04-11,0.0358319155003919
2024-04-12,0.0347496060604512
2024-04-13,0.0376849489711704
2024-04-14,0.0433857651698049
2024-04-15,0.0379897460695445
2024-04-16,0.0401549415612069
2024-04-17,0.0364909119058257
2024-04-18,0.0389388772035678
2024-04-19,0.0394160731461334
2024-04-20,0.0364388352035887
2024-04-21,0.0339227510939044
2024-04-22,0.033318613184966
2024-04-23,0.0331380974531019
