"Date","Sigma"
2023-11-01,0.0256963012513609
2023-11-02,0.0262714397767153
2023-11-03,0.0289673498402058
2023-11-04,0.0291657754360379
2023-11-05,0.028116586373878
2023-11-06,0.0283286807995492
2023-11-07,0.0268790601505244
2023-11-08,0.0268734387669138
2023-11-09,0.0267832742538121
2023-11-10,0.0384441898474319
2023-11-11,0.0405077347960344
2023-11-12,0.0400832050487202
2023-11-13,0.0385877360722848
2023-11-14,0.0363701426436937
2023-11-15,0.0407554654167657
2023-11-16,0.0392593487356007
2023-11-17,0.0444181621160205
2023-11-18,0.0398451162277007
2023-11-19,0.0374104874341659
2023-11-20,0.0365666772206485
2023-11-21,0.0351168038670449
2023-11-22,0.0415554117626621
2023-11-23,0.0418147187535364
2023-11-24,0.0390578588337321
2023-11-25,0.037492256969755
2023-11-26,0.0349985218704524
2023-11-27,0.0355887868197577
2023-11-28,0.0365867956815681
2023-11-29,0.0336038797071041
2023-11-30,0.0341929872346049
2023-12-01,0.031819844419336
2023-12-02,0.0316728109252237
2023-12-03,0.0338897748043571
2023-12-04,0.0329278366296458
2023-12-05,0.0330073883644223
2023-12-06,0.0334133993905916
2023-12-07,0.0377062227854163
2023-12-08,0.0374024372339243
2023-12-09,0.0360849739038844
2023-12-10,0.0350957923661834
2023-12-11,0.0339975481602389
2023-12-12,0.0402731207637094
2023-12-13,0.0380814386402718
2023-12-14,0.0368179669811899
2023-12-15,0.0360795737847477
2023-12-16,0.0410035171077216
2023-12-17,0.0368764416325082
2023-12-18,0.0366341876244234
2023-12-19,0.0345316871107549
2023-12-20,0.0355277364908659
2023-12-21,0.0333832183663181
2023-12-22,0.0326704735023559
2023-12-23,0.0341239266998607
2023-12-24,0.0332990897356734
2023-12-25,0.0349289767330918
2023-12-26,0.0324978700437132
2023-12-27,0.0336309663791747
2023-12-28,0.0378553728262047
2023-12-29,0.0361327593285068
2023-12-30,0.0367155164444918
2023-12-31,0.0352129263059142
2024-01-01,0.0338592388445381
2024-01-02,0.03421890704752
2024-01-03,0.032414046700456
2024-01-04,0.0438673273843553
2024-01-05,0.0378866087313118
2024-01-06,0.0351944568562769
2024-01-07,0.0347588883635586
2024-01-08,0.0339788997478695
2024-01-09,0.0368368686508233
2024-01-10,0.0347216930042299
2024-01-11,0.0436061701419814
2024-01-12,0.040343447355706
2024-01-13,0.0438876053650617
2024-01-14,0.0422589476824952
2024-01-15,0.0447748029999643
2024-01-16,0.0421672856660767
2024-01-17,0.0421441649226194
2024-01-18,0.0420510577965226
2024-01-19,0.0429849846729769
2024-01-20,0.0401964990863229
2024-01-21,0.0383705123188743
2024-01-22,0.0376732997229649
2024-01-23,0.0435617429100782
2024-01-24,0.0451818918524998
2024-01-25,0.0403294902912096
2024-01-26,0.0388136191370492
2024-01-27,0.0378857880302488
2024-01-28,0.0354550873974214
2024-01-29,0.034221681963141
2024-01-30,0.0346070058835098
2024-01-31,0.033494112878903
2024-02-01,0.0357645887917872
2024-02-02,0.0333211063376094
2024-02-03,0.0316149933527338
2024-02-04,0.0307133746347212
2024-02-05,0.0304134103039421
2024-02-06,0.0287090429821464
2024-02-07,0.0302467755488359
2024-02-08,0.0303154511629417
2024-02-09,0.0293066719452922
2024-02-10,0.0300809973170805
2024-02-11,0.0292964783663606
2024-02-12,0.0279986880221499
2024-02-13,0.0333059427436201
2024-02-14,0.0316109541738882
2024-02-15,0.0337945006927356
2024-02-16,0.0348207178692899
2024-02-17,0.0336515793820986
2024-02-18,0.0330150794510263
2024-02-19,0.0344668471136193
2024-02-20,0.0342121758644568
2024-02-21,0.0344690905903589
2024-02-22,0.0349583011183755
2024-02-23,0.0337040296829358
2024-02-24,0.0344609218102111
2024-02-25,0.033889313265975
2024-02-26,0.0354973808313859
2024-02-27,0.035065334418693
2024-02-28,0.0349998797563806
2024-02-29,0.036739875444043
2024-03-01,0.0366703342594294
2024-03-02,0.0368358847531556
2024-03-03,0.0356594402962526
2024-03-04,0.0352949204570648
2024-03-05,0.0364003197766184
2024-03-06,0.0374872656436269
2024-03-07,0.0411313325491444
2024-03-08,0.0402230908423271
2024-03-09,0.0391900663235948
2024-03-10,0.0376844519560106
2024-03-11,0.0369150166704922
2024-03-12,0.0386395012795093
2024-03-13,0.0392307960196795
2024-03-14,0.0373491263709328
2024-03-15,0.0395927576904335
2024-03-16,0.0425694254601654
2024-03-17,0.0493980112388625
2024-03-18,0.0444451425770979
2024-03-19,0.045138793354166
2024-03-20,0.0606167090268687
2024-03-21,0.0581838917853616
2024-03-22,0.0527267435652275
2024-03-23,0.0532097910275716
2024-03-24,0.050538266702929
2024-03-25,0.0495824650569754
2024-03-26,0.0493923948375052
2024-03-27,0.046842177666007
2024-03-28,0.0469418404340768
2024-03-29,0.044933211032258
2024-03-30,0.0443572676679896
2024-03-31,0.0420357380073327
2024-04-01,0.0424662260584837
2024-04-02,0.0447249352152539
2024-04-03,0.0576065286846401
2024-04-04,0.0454356147658467
2024-04-05,0.0427070389984741
2024-04-06,0.0403862535958717
2024-04-07,0.0383700050024973
2024-04-08,0.0423187763456038
2024-04-09,0.0409942735102611
2024-04-10,0.045948010142249
2024-04-11,0.0433105857145992
2024-04-12,0.0396417771589714
2024-04-13,0.0514135047942287
2024-04-14,0.0588698473262899
2024-04-15,0.0523900183175968
2024-04-16,0.0484533971448879
2024-04-17,0.045753796517509
2024-04-18,0.0470055178269861
2024-04-19,0.0448941280125042
2024-04-20,0.0420525199114212
2024-04-21,0.0420290262932053
2024-04-22,0.0397298892990314
2024-04-23,0.039087654337423
